CC catalog number,Author / Creator,Contributor - reconciled,Union List of Artist Names ID,Library of Congress authority ID,Contributor Wikidata QID,Contributor family name,Contributor given name,Contributor dates,Contributor death year,Contributor birth year,Contributor nationality,Contributor role
31,"Galle I, Cornelis, 1576-1650 [engraver]",Cornelis Galle the Elder,500020542,no99065598,Q869133,Galle I,Cornelis,1576-1650,1650,1576,,engraver
31,"Titian, 1488-1576, Italian [artist]",Titian,500031075,n79074519,Q47551,Titian,,1488-1576,1576,1488,Italian,artist
21,"Julien, Joseph Laurent, -1805 [engraver]",Laurent Julien,,,Q102841270,Julien,Joseph Laurent,-1805,,,,engraver
50,"Brichet, Francois-R. F., printmaker, 18th cen., French [etcher]",Robert Brichet,500045182,,Q55467951,Brichet,Francois-R. F.,18th cen.,,,French,etcher
50,"Goez, Joseph Franz von, 1754-1815, German [artist]",Joseph Franz von Goez,500000602,n83025766,Q6283227,Goez,Joseph Franz von,1754-1815,1815,1754,German,artist
60,"Kilian, Wolfgang, engraver, German [engraver]",Wolfgang Kilian,500008347,n85194981,Q998339,Kilian,Wolfgang,,,,German,engraver
27,"Badalocchio, Sisto, 1585-1647, Italian [etcher]",Sisto Badalocchio,500003253,nr2002010028,Q729057,Badalocchio,Sisto,1585-1647,1647,1585,Italian,etcher
27,"Lanfranco, Giovanni, 1582-1647, Italian [artist]",Giovanni Lanfranco,500022495,n83237456,Q447730,Lanfranco,Giovanni,1582-1647,1647,1582,Italian,artist
27,"Raphael, 1483-1520, Italian [artist]",Raphael,500023578,n79041756,Q5597,Raphael,,1483-1520,1520,1483,Italian,artist
15,"Rembrandt van Rijn, 1606-1669, Dutch [etcher]",Rembrandt,500011051,n79142935,Q5598,Rembrandt van Rijn,,1606-1669,1669,1606,Dutch,etcher
70,"Geissler, Johann Martin Friedrich, 1778-1853, German [engraver (printmaker)]",Friedrich Geißler,500065277,,Q19279961,Geissler,Johann Martin Friedrich,1778-1853,1853,1778,German,engraver (printmaker)
2,"Galle, Philip, 1537-1612, Flemish [engraver]",Philip Galle,500016136,n86862363,Q1379395,Galle,Philip,1537-1612,1612,1537,Flemish,engraver
2,"Heemskerck, Martin van, 1498-1574, Dutch [artist]",Maarten van Heemskerck,500124291,n50059018,Q538350,Heemskerck,Martin van,1498-1574,1574,1498,Dutch,artist
40,"Mieris the elder, Frans van, 1635-1681, Dutch [artist]",Frans van Mieris the Elder,500005591,n86864104,Q959236,Mieris the elder,Frans van,1635-1681,1681,1635,Dutch,artist
